Symbol,Name,Current Price,% Change,Avg Stock Volume,Avg Option Volume,Date,Implied_Move,Actual_Move,Straddle Return,Avg Straddle Return,Max Return,Min Return,InWatchlist,EtfHoldingsList,MarketCap
FI,Fiserv,144.23,0.0047,2728974,1888,2/6/2024,0.0418,-0.0212,-0.4403,-0.2187,0.0058,-0.4432,0,SPY - XLF,86564782080
HUDI,Huadi International Group Co. Ltd. -,3.35,-0.059,58570,,2/6/2024,,-0.0229,,,,,0,,47768252
TM,Toyota Motor,224.46,-0.0082,303478,1399,2/6/2024,0.0459,0.078,0.5712,0.0024,0.2539,-0.1429,0,,3.02E+11
PDS,Precision Drilling,63.92,-0.0003,91948,108,2/6/2024,0.0716,0.0572,0.2408,0.1064,0.5615,-0.0985,0,,916391616
SCSC,Scansource,39.86,0.0581,159750,16,2/6/2024,0.0763,-0.0545,0.6599,0.078,0.6041,-0.1245,0,IWM,1003294976
CTS,CTS,45.74,0.0351,179967,31,2/6/2024,0.0446,0.1044,0.3826,-0.0243,0.1385,-0.1475,0,IWM,1425168384
MSGS,Madison Square Garden Sports Corp. Class A Common (New),190.94,-0.0014,127312,207,2/6/2024,0.0473,0.0602,0.576,0.2009,1.3027,-0.3419,0,,4569935360
CMI,Cummins,251.78,0.0074,743649,1061,2/6/2024,0.0476,0.0433,0.0379,0.0623,0.6434,-0.3043,0,SPY - XLI,35636862976
AME,Ametek,168.5,0.0132,926293,528,2/6/2024,0.0365,-0.0054,-0.3296,-0.0664,0.2915,-0.2539,0,SPY - XLI,38874988544
KKR,KKR & Co.,97.03,0.005,3333578,4938,2/6/2024,0.044,0.058,0.2901,-0.0079,0.1842,-0.2297,0,,85872394240
NVT,Nvent Electric PLC Ordinary Shares,64.05,-0.0037,1161261,566,2/6/2024,0.0704,-0.0189,-0.2322,0.0466,0.3083,-0.211,0,,10626652160
LLY,Eli Lilly And Company,740.16,0.0061,3153407,44379,2/6/2024,0.0641,-0.0017,-0.5817,0.5492,2.0555,-0.0442,0,SPY - XLV,7.03E+11
PNM,PNM Resources (Holding Co.),36.99,-0.0024,1097626,155,2/6/2024,0.0404,0.042,0.585,0.4211,1.919,-0.0965,0,IWM,3175032064
ARMK,Aramark,30.51,0.0374,3157223,2953,2/6/2024,0.0594,-0.0037,-0.35,0.3927,0.6471,0.1102,0,,8002541056
AGCO,Agco,115.04,-0.0203,627912,282,2/6/2024,0.0611,0.0104,-0.3403,-0.1032,-0.0389,-0.1939,0,,8610307072
AUDC,Audiocodes Ltd. -,13.77,0.0073,129549,50,2/6/2024,0.0768,0.1422,2.0583,0.7745,1.9695,-0.3387,0,,428449856
WTW,Willis Towers Watson Public Limited Company -,271.86,0.0065,511101,253,2/6/2024,0.0518,0.0718,0.5727,0.8014,1.0831,0.1158,0,SPY - XLF,28088846336
IT,Gartner,463.52,0.0161,471685,210,2/6/2024,0.0665,-0.0172,-0.4903,0.0206,1.1218,-0.44,0,SPY - XLK,36525375488
LIN,Linde PLC -,419.42,0.0131,1599562,1894,2/6/2024,0.0372,0.0373,0.0387,-0.0145,0.244,-0.1718,0,SPY - XLB - NOBL,2.03E+11
ULCC,Frontier Group Holdings,7.57,0.0342,2604517,834,2/6/2024,0.1442,0.2078,0.4224,0.3115,0.8701,-0.0835,0,IWM,1673452160
PJT,PJT Partners Class A,97.39,0.0206,262503,64,2/6/2024,0.0711,-0.0243,-0.4482,0.2609,0.6516,-0.0224,0,IWM,2347064832
WAT,Waters,322.82,-0.0118,471915,264,2/6/2024,0.0653,0.017,-0.2917,-0.1455,0.2703,-0.5764,0,IBB - SPY - XLV,19087372288
CEIX,Consol Energy Common,83.22,-0.0298,496949,1145,2/6/2024,0.0907,-0.0532,-0.1035,0.0315,0.1379,-0.1368,0,XME - IWM,2661798400
HTZ,Hertz Global Holdings,8.44,-0.0254,4702388,8049,2/6/2024,0.1637,0.0889,-0.1066,-0.0161,0.1771,-0.1867,0,,2597939968
MLI,Mueller Industries,49.58,0.0036,580815,69,2/6/2024,0.0593,0.0006,-0.1873,0.5914,1.1999,-0.1471,0,IWM,5628326400
INGR,Ingredion,108.16,-0.0119,336805,89,2/6/2024,0.0536,-0.008,-0.5253,0.3345,0.8367,-0.2544,0,,7051217920
ST,Sensata Technologies Holding PLC,32.95,0.0073,2074416,408,2/6/2024,0.0757,-0.0847,0.2021,0.3135,0.6061,0.0778,0,,5173373952
GEHC,Ge Healthcare Techs,81.34,-0.0088,2564601,3580,2/6/2024,0.0468,0.1165,1.2758,0.0965,0.9743,-0.4855,0,QQQ - SPY - XLV,36986109952
DD,Dupont De Nemours,67.68,0.0086,3177439,5431,2/6/2024,0.0414,0.074,0.5147,0.2851,0.777,-0.4954,0,SPY - XLB,29105276928
J,Jacobs Solutions,145.52,0.0164,776923,570,2/6/2024,0.0509,0.0212,-0.2472,0.0813,0.565,-0.2853,0,SPY,18339072000
FSV,Firstservice - Common Shares,166.32,0.0016,62978,8,2/6/2024,0.0377,-0.0236,-0.0984,-0.2204,-0.094,-0.3653,0,,7420388352
HIMX,Himax Techs,5.49,-0.0054,680734,761,2/6/2024,0.0951,-0.0142,-0.1915,-0.1995,-0.1524,-0.2447,0,,956899200
LEA,Lear,134.75,0.0108,571702,133,2/6/2024,0.0496,0.0062,-0.2124,-0.0543,0.0794,-0.1674,0,,7850517504
CRNC,Cerence,16.67,0.0551,454587,191,2/6/2024,0.1175,-0.071,-0.2066,-0.2961,-0.2691,-0.3309,0,IWM,671952896
CHKP,Check Point Software Technologies Ltd. -,164.31,0.0069,766566,518,2/6/2024,0.0544,0.0103,-0.4863,-0.2074,0.2392,-0.4141,0,,21820071936
SPR,Spirit Aerosystems Hldgs,29.12,0.0301,4161525,7383,2/6/2024,0.0951,0.0498,-0.3459,0.7671,2.1904,-0.1127,0,,3378662656
NJR,New Jersey Resources,41.28,0.0032,491987,6,2/6/2024,0.0293,0.0362,0.255,0.0031,0.5952,-0.3177,0,IWM,4057969408
CBT,Cabot,79.85,-0.0027,271142,47,2/5/2024,0.056,0.0786,0.3009,-0.0781,0.5502,-0.3255,0,IWM,4426022912
AMKR,Amkor Technology,31.2,0.0341,972136,605,2/5/2024,0.0878,-0.0501,-0.2554,-0.2893,-0.1327,-0.5352,0,IWM,7667796480
CCK,Crown Holdings,74.79,0.0067,1189916,627,2/5/2024,0.0569,-0.132,1.431,-0.0429,0.1513,-0.1766,0,,9023143936
IVAC,Intevac,4.03,0.0075,62841,52,2/5/2024,0.0641,-0.0324,-0.086,0.315,0.6607,0.0325,0,IWM,106285008
SYM,Symbotic - Class A,46.71,0.0865,1407147,4157,2/5/2024,0.2496,-0.2357,0.1153,0.4153,1.2691,-0.0979,0,,3984143104
NXPI,NXP Semiconductors N.V.,233.55,0.0251,2177077,3608,2/5/2024,0.0594,0.009,-0.5283,-0.2329,-0.0879,-0.4558,0,QQQ - SPY - XLK - SMH,60209680384
ITUB,Itau Unibanco Holding,6.91,0.0192,15672169,2571,2/5/2024,0.0527,0.065,-0.0376,0.0564,0.3072,-0.3125,0,,67579019264
PLTR,Palantir Technologies Class A,24.38,-0.0053,62027590,358571,2/5/2024,0.1493,0.308,0.8811,0.3128,0.6303,-0.5317,0,,52461490176
FMC,FMC,51.75,-0.0056,1804400,1683,2/5/2024,0.1101,-0.1154,0.1729,0.0587,0.2881,-0.1831,0,SPY - XLB,6476088320
KFRC,Kforce,68.93,0.0119,103099,111,2/5/2024,0.0518,-0.0098,-0.0092,0.2318,0.4839,-0.1635,0,IWM,1400765824
HI,Hillenbrand,46.25,0.0452,317805,27,2/5/2024,0.0553,-0.0481,-0.1532,0.0271,0.3371,-0.3846,0,IWM,3244519680
RMBS,Rambus,58.7,0.0436,1595428,1858,2/5/2024,0.1131,-0.1918,0.8619,0.0175,0.3449,-0.3545,0,IWM,6388367872
GBDC,Golub Capital Bdc - Closed End,15.35,0.002,661123,92,2/5/2024,0.0234,-0.0137,-0.4193,-0.2615,-0.0866,-0.448,0,,2618491904
FGBI,First Guaranty Bancshares,11.31,0.0162,8046,,2/5/2024,,-0.0315,,,,,0,,140595520
FLXS,Flexsteel Industries,34.29,0.0551,16848,,2/5/2024,,0.0784,,,,,0,,178260896
GLAD,Gladstone Capital - Closed End,10,0.0091,256292,173,2/5/2024,0.0359,-0.0466,0.0418,-0.062,0.0103,-0.1367,0,,435088992
SKY,Skyline Champion,81.17,0.0209,338712,263,2/5/2024,0.0967,0.1195,0.623,0.0724,0.5247,-0.2524,0,XHB - IWM - ITB,4674457600
KRC,Kilroy Realty,34.72,-0.0071,1102997,248,2/5/2024,0.0636,-0.0139,0.1373,-0.0759,0.1023,-0.2673,0,VNQ - IYR,4070558976
SPG,Simon Property Group,146.93,0.0196,1469984,3523,2/5/2024,0.047,0.0482,0.1745,-0.0185,0.1163,-0.1737,0,SPY - VNQ - XLRE - IYR,50383572992
VRTX,Vertex Pharmaceuticals,422.91,-0.0004,1424115,3761,2/5/2024,0.0466,-0.0298,-0.2371,-0.1974,0.2336,-0.5094,0,IBB - QQQ - SPY - XBI - XLV,1.09E+11
CHGG,Chegg,8.73,0.0151,2552233,2331,2/5/2024,0.1966,-0.0613,-0.6045,0.3929,2.4217,-0.7042,0,IWM,1006754880
VRNS,Varonis Systems,51.98,0.0254,1249238,547,2/5/2024,0.1166,0.0672,-0.3111,-0.2068,-0.0919,-0.3771,0,IWM,5671209984
SSD,Simpson Manufacturing Company,192.4,0.0104,224336,49,2/5/2024,0.068,-0.0167,-0.3274,0.0942,0.3893,-0.1896,0,IWM - ITB,8208354816
FN,Fabrinet,204.56,0.0433,354009,245,2/5/2024,0.118,-0.1841,0.7118,0.106,1.304,-0.4902,0,IWM,7431840768
ACM,Aecom,89.54,0.0119,709464,244,2/5/2024,0.0436,-0.0018,-0.2313,0.0072,0.6718,-0.4106,0,,12176293888
FUNC,First United,22.07,0.0005,15936,,2/5/2024,,-0.0201,,,,,0,,147564912
CHX,Championx,28.99,-0.0031,1425604,409,2/5/2024,0.0716,0.0918,0.279,-0.0201,0.234,-0.2653,0,OIH - IWM,5647251968
KE,Kimball Electronics,21.28,0.0255,82632,14,2/5/2024,0.0649,-0.1409,1.3308,0.0084,0.2914,-0.2571,0,IWM,528704800
COHR,Coherent Corp.,62.35,0.0087,1930067,3236,2/5/2024,0.1195,0.1736,0.3311,-0.0238,1.0704,-0.655,0,,9465566208
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares Each  Representing Four Class A Ordinary Share,1.63,-0.0944,3674,,2/5/2024,,0.2252,,,,,0,,48453704
BRBR,Bellring Brands Common,59.38,0.0088,1174618,347,2/5/2024,0.0728,-0.013,-0.421,-0.1974,0.0595,-0.4447,0,IWM,7783785984
IRS,Irsa Inversiones Y Representaciones S.A. Global Depositary Shares (Each Representing Ten Shares Of Common Stock),8.04,0.0663,126560,66,2/5/2024,0.0782,0.0099,-0.3307,1.4535,2.9012,0.0058,0,,602431424
JJSF,J&J Snack Foods,148.09,0.0142,73911,9,2/5/2024,0.0637,-0.07,0.2424,-0.0956,0.1574,-0.2755,0,IWM,2869961984
ALGT,Allegiant Travel Company,78.6,0.0085,250478,265,2/5/2024,0.0985,-0.076,0.0958,0.4614,1.4755,-0.1265,0,IWM,1424363264
VOD,Vodafone Group PLC - American Depositary Shares Each Representing Ten,8.06,-0.0123,6092529,6424,2/5/2024,0.0583,-0.0332,0.046,0.2248,1.0208,-0.336,0,,21804701696
CNA,Cna Financial,45.91,0.0137,176673,33,2/5/2024,0.0436,0.0716,-0.1403,-0.1454,-0.0222,-0.2583,0,,12435260416
CAT,Caterpillar,317.16,-0.015,2909540,27354,2/5/2024,0.0546,0.02,-0.3743,0.1534,0.9214,-0.5897,0,SPY - XLI - DIA - NOBL,1.69E+11
EL,Estee Lauder Cos,143.34,0.0183,2861248,10451,2/5/2024,0.0968,0.1205,0.2633,0.3874,1.3741,-0.6298,0,SPY - XLP,51271401472
APD,Air Products & Chemicals,219.84,-0.0003,1349112,2289,2/5/2024,0.0598,-0.1555,1.6133,0.6668,1.6671,0.1922,0,SPY - XLB - NOBL,48854622208
MCD,McDonald's,289.47,-0.0084,3113337,26939,2/5/2024,0.0296,-0.0373,0.2412,-0.4102,-0.2907,-0.5256,0,SPY - XLY - DIA - NOBL,2.12E+11
TKR,Timken Company,82.56,0.0233,480800,160,2/5/2024,0.0592,-0.0445,-0.1122,0.1206,0.5953,-0.1284,0,,5865146880
BOWL,Bowlero Corp. Class A,14.99,0.0115,1448278,2058,2/5/2024,0.1879,0.1578,-0.0473,-0.1954,0.453,-0.7095,0,IWM,2244328192
SPHR,Sphere Entertainment Co. Class A,40.29,-0.0093,976587,3211,2/5/2024,0.1207,0.1005,-0.1117,0.4221,0.9,-0.0558,0,IWM,1414597248
TSN,Tyson Foods,52.58,-0.0258,2588725,6679,2/5/2024,0.0598,0.0202,-0.4007,0.2028,1.8632,-0.5103,0,SPY - XLP,18814502912
MLAB,Mesa Laboratories,93.85,0.0049,50989,,2/5/2024,,0.0564,,,,,0,IWM,505314656
ON,On Semiconductor,80.8,0.0011,7291208,21305,2/5/2024,0.0954,0.0954,-0.0296,0.2405,1.6686,-0.4435,0,QQQ - SPY - XLK - SMH,34528153600
HAYN,Haynes Intl,59.71,0.0027,81471,47,2/5/2024,0.0488,0.0693,0.1338,-0.1969,-0.0533,-0.3966,0,XME - IWM,763272320
GHM,Graham,22.93,-0.0004,48766,20,2/5/2024,0.0851,0.1102,0.1663,-0.0218,0.3035,-0.4114,0,,248293616
L,Loews,72.75,0.0101,804421,179,2/5/2024,0.0387,-0.0034,-0.1097,-0.0765,0.1135,-0.358,0,SPY - XLF,16165130240
NSSC,Napco Security Techs,45,-0.0138,343312,204,2/5/2024,0.1297,0.1882,0.4088,0.2295,0.5186,-0.2764,0,IWM,1654550144
AMG,Affiliated Managers Group,155.89,0.0103,239666,26,2/5/2024,0.0688,0.0484,-0.2555,0.1091,1.3543,-0.3286,0,,5270428672
IDXX,Idexx Laboratories,572.21,-0.0024,490841,391,2/5/2024,0.0619,0.0853,0.445,-0.1532,-0.0996,-0.249,0,QQQ - SPY - XLV,47438139392
USLM,United States Lime & Minerals,259.99,0.023,14074,,2/2/2024,,0.0111,,,,,0,IWM,1481936128
SCCO,Southern Copper,80.16,-0.0096,922832,1057,2/2/2024,0.0543,-0.0246,-0.0646,0.0017,0.0993,-0.093,0,,61969555456
BOTJ,Bank Of The James Finl Gr,11.9332,-0.0014,2894,,2/2/2024,,0.0016,,,,,0,,54216560
BSAC,Banco Santander Chile,18.31,0.0144,336668,5,2/2/2024,0.0397,-0.0126,-0.2337,0.1407,0.8694,-0.2911,0,,8626120704
BEPC,Brookfield Renewable Class A Subordinate Voting Shares,25.5,0.0039,1009445,189,2/2/2024,0.0606,-0.0349,0.033,-0.0613,0.3386,-0.5611,0,,4581271040
GWW,W.W. Grainger,959.01,0.0115,262416,856,2/2/2024,0.0612,0.0541,-0.0102,0.2096,1.1777,-0.1406,0,SPY - XLI - NOBL,47599648768
XOM,Exxon Mobil,101.77,-0.0212,20525122,132166,2/2/2024,0.024,-0.0041,-0.9347,-0.3379,0.0181,-0.6035,0,SPY - XLE - XOP - NOBL,4.08E+11
BBU,Brookfield Business Partners LP Limited Partnership Units,23.19,0.0153,13294,17,2/2/2024,0.0594,0.0295,-0.2986,0.0489,0.1948,-0.1418,0,,1871433088
VRTS,Virtus Investment Partners,234.1,0.0104,38586,,2/2/2024,,-0.0344,,,,,0,IWM,1706213120
JOUT,Johnson Outdoors - Class A,45.86,0.0057,36405,,2/2/2024,,-0.0282,,,,,0,IWM,464433408
CPLP,Capital Product Partners LP - Common Units Representing Limited Partner Interests,18.32,-0.0027,109707,111,2/2/2024,0.089,0.0306,-0.153,-0.0119,0.2175,-0.2443,0,,1008317056
CHD,Church & Dwight Company,98.83,-0.0111,1515672,408,2/2/2024,0.045,-0.0237,-0.3056,-0.0446,0.1714,-0.3676,0,SPY - XLP - NOBL,24349902848
BEP,Brookfield Renewable Partners LP,23.92,-0.0013,488351,151,2/2/2024,0.0637,-0.0276,-0.1141,0.0049,0.3376,-0.2404,0,,6870541824
LYB,Lyondellbasell Industries Nv Ordinary Shares Class A (Netherlands),95.4,0.0044,1673465,1640,2/2/2024,0.0409,-0.0185,-0.1564,-0.1049,0.0333,-0.2436,0,SPY - XLB,30928412672
BMY,Bristol-Myers Squibb Company,49.81,0.0226,14288738,42705,2/2/2024,0.0413,0.0008,-0.8931,0.2394,1.1066,-0.5904,0,SPY - XLV,1.01E+11
TWST,Twist Bioscience,38.19,0.046,1128786,311,2/2/2024,0.164,0.1001,-0.2568,0.4276,1.3146,-0.0445,0,IBB - XBI - IWM,2202561536
IMO,Imperial Oil,58.28,-0.0093,533150,473,2/2/2024,0.0514,-0.0128,-0.1034,0.0358,0.1906,-0.0676,0,,31228567552
WT,WisdomTree,7.07,0.0173,1102708,92,2/2/2024,0.0503,0.0074,0.0271,0.0414,0.2286,-0.1584,0,IWM,1062925120
GRC,Gorman-Rupp Company,36.44,0.0187,47325,6,2/2/2024,0.0782,0.016,0.2264,0.2645,0.9275,-0.3937,0,IWM,953935424
SAIA,Saia,565.265,0.022,306855,423,2/2/2024,0.0878,0.1435,0.6172,0.0047,0.4684,-0.3651,0,,14996277248
REGN,Regeneron Pharmaceuticals,953.42,0.0074,509161,1714,2/2/2024,0.0309,-0.0132,-0.568,0.2726,0.6438,-0.1057,0,IBB - QQQ - SPY - XBI - XLV,1.05E+11
CBOE,Cboe Global Markets,183.5,-0.0036,798407,1732,2/2/2024,0.0292,-0.0106,-0.5229,0.1631,0.8711,-0.711,0,SPY - XLF,19403767808
AON,Aon PLC Class A Ordinary Shares (Ireland),312.56,0.0175,1017817,905,2/2/2024,0.045,-0.0253,-0.165,0.0153,0.459,-0.2305,0,SPY - XLF,62579638272
IESC,Ies Hldgs,91.59,0.015,46498,11,2/2/2024,0.0479,0.0076,-0.1631,0.7263,1.4277,0.1222,0,IWM,1852084352
CI,Cigna Group,334.93,0.0079,1861749,5172,2/2/2024,0.0366,0.0538,0.3979,0.0826,0.7306,-0.2129,0,SPY - XLV,99132612608
CVX,Chevron,151.04,-0.0196,9829766,68084,2/2/2024,0.0239,0.0294,0.1514,0.5161,2.4339,-0.703,0,SPY - XLE - XOP - DIA - NOBL,2.84E+11
PIPR,Piper Sandler Companies,186.72,0.0151,81143,23,2/2/2024,0.0633,0.0757,0.3505,-0.0881,0.212,-0.2904,0,IWM,2819472128
BBUC,Brookfield Business Class A Exchangeable Subordinate Voting Shares,24.57,0.0078,46633,20,2/2/2024,0.0521,0.0213,0.3047,0.1124,0.8953,-0.4877,0,IWM,1793808640
CHTR,Charter Communications - Class A,291.15,0.0303,1162903,4771,2/2/2024,0.0621,-0.1651,1.7881,0.1484,1.1469,-0.8228,0,QQQ - SPY - XLC,43066994688
ABBV,Abbvie,174.08,-0.0041,5218294,29558,2/2/2024,0.0348,0.0064,-0.7903,0.5283,1.827,-0.2232,0,SPY - XBI - XLV - NOBL,3.07E+11
SKX,Skechers USA,58.91,0.0162,1740239,1857,2/1/2024,0.0823,-0.1031,0.2704,-0.0976,0.0855,-0.3519,0,,9071038464
AFBI,Affinity Bancshares,16.79,-0.0089,4033,,2/1/2024,,-0.0064,,,,,0,,107259712
LPLA,LPL Finl Hldgs,248.13,0.0177,609419,271,2/1/2024,0.0613,0.0447,-0.0409,-0.0924,-0.0288,-0.1316,0,,18763401216
ENSG,Ensign Group,118.9,0.0071,240540,28,2/1/2024,0.0504,0.0471,0.1699,-0.0608,0.0377,-0.1675,0,IWM,6712171520
AMZN,Amazon.com,174.45,0.0271,48522877,644842,2/1/2024,0.065,0.0787,0.1386,-0.1289,0.1593,-0.4188,0,QQQ - SPY - XLY - XRT,1.80E+12
HUBG,Hub Group - Class A,44.99,0.0147,303815,111,2/1/2024,0.0682,-0.0188,-0.3019,0.0884,0.3044,-0.0342,0,IWM,2858383104
EXPO,Exponent,77.76,-0.0111,268697,32,2/1/2024,0.0336,-0.1283,1.4612,0.9778,2.2395,0.2134,0,IWM,3952941568
OTEX,Open Text - Common Shares,41.86,0.0185,518619,155,2/1/2024,0.0644,-0.0231,-0.2741,0.2038,0.7448,-0.2156,0,,11312046080
HLI,Houlihan Lokey Class A,126.87,0.0117,434339,63,2/1/2024,0.0533,0.0414,-0.0672,0.0709,0.4058,-0.2511,0,,8772480000
PFSI,Pennymac Financial Servs,91.21,0.0104,249309,271,2/1/2024,0.0724,0.0474,-0.1772,0.049,0.2495,-0.1206,0,KBE - IWM,4553728000
PMT,Pennymac Mortgage Investment Trust Common Shares Of Beneficial Interest,13.79,0.0177,623516,328,2/1/2024,0.0718,-0.0332,0.0714,0.108,0.3689,-0.0374,0,IWM,1196425984
EVBN,Evans Bancorp,29.01,0.0126,15596,,2/1/2024,,0.0044,,,,,0,IWM,159078976
ABIO,Arca Biopharma,1.66,0.0061,24900,11,2/1/2024,0.0667,0.0254,0.4495,-0.1358,-0.0725,-0.187,0,,24071892
MTX,Minerals Technologies,71.03,0.0189,167675,8,2/1/2024,0.0541,0.0279,0.2004,0.3209,0.6022,0.0629,0,IWM,2311326720
VIAV,Viavi Solutions,8.91,0.0241,2048813,426,2/1/2024,0.1104,-0.0453,-0.4653,0.6066,2.7362,-0.2988,0,IWM,2015955200
DECK,Deckers Outdoor,845.22,0.0154,359951,975,2/1/2024,0.0857,0.1413,0.6059,-0.0123,0.9994,-0.4541,0,,22110828544
MATW,Matthews International - Class A,29.29,0.0177,139585,8,2/1/2024,0.0737,-0.0753,0.1063,0.2151,0.7657,0.0152,0,IWM,889954688
CLFD,Clearfield,29.71,0.0392,267535,237,2/1/2024,0.1393,0.1271,0.1663,-0.1769,0.147,-0.5017,0,IWM,453189184
ORC,Orchid Island Capital,8.24,0.0313,1340599,448,2/1/2024,0.0718,0.0375,-0.1073,-0.0518,-0.0269,-0.1033,0,IWM,422739168
RGA,Reinsurance Group Of America,167.82,0.0016,343682,91,2/1/2024,0.0621,-0.0282,-0.4375,-0.1454,0.3304,-0.42,0,,11060304896
COUR,Coursera,17.87,0.0142,1445814,963,2/1/2024,0.1284,-0.0486,-0.2827,0.0348,0.3398,-0.398,0,IWM,2674243840
SXI,Standex International,155.28,0.0052,52435,14,2/1/2024,0.0514,-0.0103,-0.3646,0.0028,0.3719,-0.1854,0,IWM,1843269888
CVCO,Cavco Industries,361.6,0.0215,64568,11,2/1/2024,0.0724,0.0175,-0.1878,0.0749,0.3376,-0.2139,0,XHB - IWM - ITB,3136953344
HOLX,Hologic,73.44,0.0001,1803503,826,2/1/2024,0.0489,-0.0265,-0.2626,0.0178,0.2397,-0.2192,0,SPY - XLV,17237882880
PBHC,Pathfinder Bancorp,11.75,0,1352,,2/1/2024,,-0.0213,,,,,0,,71669960
SKYW,Skywest,59.32,-0.0062,371955,426,2/1/2024,0.0936,0.0817,-0.1381,0.3882,0.649,0.1086,0,IWM,2428779008
TEAM,Atlassian  - Class A,218.76,0.0305,1603389,6160,2/1/2024,0.1058,-0.1472,0.4727,-0.2027,0.4823,-0.7106,0,QQQ,56487178240
GEN,Gen Digital,21.35,0.023,4004450,1554,2/1/2024,0.0769,-0.1125,0.9775,0.2834,0.6871,0.058,0,SPY - XLK,13679272960
X,United States Steel,46.29,-0.0004,6112249,47394,2/1/2024,0.0166,-0.0167,-0.2989,-0.4086,-0.0768,-0.6994,0,XME,10324452352
NOV,Nov,17.2,-0.0041,3698403,872,2/1/2024,0.07,-0.1123,0.7361,-0.0919,0.4829,-0.4127,0,OIH,6772961280
DLB,Dolby Laboratories,80.58,-0.0015,386690,161,2/1/2024,0.0584,-0.0538,-0.0151,0.2776,0.8252,-0.2185,0,,7660168192
KOSS,Koss,2.84,0.0327,17223,,2/1/2024,,-0.0311,,,,,0,,26226818
POST,Post Hldgs,104.77,-0.016,679327,138,2/1/2024,0.0459,0.0766,0.8122,-0.3803,-0.2194,-0.6542,0,,6214806016
CLX,Clorox Company,153.2,-0.0066,1480323,5960,2/1/2024,0.0529,0.0562,-0.0436,0.5401,1.0758,-0.0015,0,SPY - XLP - NOBL,19271225344
BZH,Beazer Homes USA,29.35,-0.0031,392547,533,2/1/2024,0.1155,-0.0788,-0.1768,0.7883,1.5666,0.0809,0,IWM - ITB,925490944
KMPR,Kemper,59.27,0.0205,419733,28,2/1/2024,0.0646,-0.0532,-0.155,-0.0594,0.1642,-0.2946,0,,3796618496
AAPL,Apple,188.85,0.0041,52854044,856755,2/1/2024,0.0354,-0.0054,-0.7672,-0.1552,0.4584,-0.8704,0,QQQ - SPY - XLK - DIA,2.92E+12
COLM,Columbia Sportswear Company,80.05,0.0254,421494,87,2/1/2024,0.0692,-0.0087,-0.2762,-0.1475,-0.0524,-0.2021,0,,4969684992
DXC,DXC Technology Company Common,22.11,0.0027,3102441,503,2/1/2024,0.1056,0.0009,-0.5374,0.4284,2.6158,-0.3841,0,,4658999296
CPT,Camden Prop Trust,93.46,-0.0052,1057576,120,2/1/2024,0.0386,0.0107,0.0581,0.1477,0.5272,-0.1523,0,SPY - VNQ - XLRE - IYR,9972228096
MCHP,Microchip Technology,85.44,0.0129,4825259,4957,2/1/2024,0.0664,-0.0159,-0.2583,-0.1682,0.0341,-0.2769,0,QQQ - SPY - XLK - SMH,46597619712
HIG,Hartford Finl Servs Gr,90.81,0.012,1624054,668,2/1/2024,0.0424,0.0373,0.13,-0.2096,0.1252,-0.8023,0,SPY - XLF,27312904192
META,Meta Platforms - Class A,468.11,-0.004,18533213,392545,2/1/2024,0.0614,0.2032,2.2191,0.2165,1.4227,-0.5253,0,QQQ - SPY - XLC,1.20E+12
LESL,Leslies,7.7,0.0052,3226995,545,2/1/2024,0.1518,0.0249,-0.2605,-0.0702,0.0082,-0.171,0,XRT - IWM,1420751616
EMN,Eastman Chemical Company,82.34,-0.0078,952986,696,2/1/2024,0.0494,-0.0266,-0.1493,-0.0294,0.0681,-0.1141,0,SPY - XLB,9765523456
ING,Ing Groep,13.05,0.0124,2957054,312,2/1/2024,0.0484,-0.0592,0.3354,-0.0642,0.2242,-0.2425,0,,43174436864
DB,Deutsche Bank Ag,12.54,-0.0032,2741837,3438,2/1/2024,0.0413,0.0584,0.4264,0.097,0.6051,-0.5114,0,,25196621824
EURN,Euronav Nv,17.81,0.0017,1868268,351,2/1/2024,0.0247,0.0045,0.1898,-0.0844,0.0827,-0.3075,0,,3596068608
PTSI,P.A.M. Transportation Services,19.25,0.0316,17325,,2/1/2024,,0.0068,,,,,0,IWM,426056192
NECB,Northeast Community Bancorp,15.91,0.0102,57831,26,2/1/2024,0.0322,-0.011,0.0705,,,,0,IWM,225864080
THR,Thermon Group Holdings,27.35,0.0167,211096,45,2/1/2024,0.0816,-0.1788,0.7778,0.0579,0.2468,-0.1401,0,IWM,922098176
LPG,Dorian Lpg Ltd.,35,-0.0286,1005558,1630,2/1/2024,0.1035,0.0184,-0.056,0.4008,1.4655,-0.2102,0,IWM,1404863616
CMS,CMS Energy,56.08,0.0058,2494595,83,2/1/2024,0.0399,0.0294,-0.0841,0.0113,0.1207,-0.0667,0,SPY - XLU,16355821568
BALL,Ball,59.17,0.0005,1994398,5866,2/1/2024,0.0698,0.0714,0.2314,-0.0061,0.8036,-0.3323,0,SPY - XLB,18642016256
KEX,Kirby,85.02,0.0062,359349,271,2/1/2024,0.0541,0.0475,0.2562,0.3433,0.5905,0.204,0,,5024681984
TECH,Bio-Techne,67.95,0.0007,1110164,201,2/1/2024,0.0678,-0.0253,-0.1675,-0.0894,0.169,-0.4182,0,IBB - SPY - XLV,10681175040
ETN,Eaton PLC,277.96,0.0174,1721071,2659,2/1/2024,0.0544,0.0751,0.4588,0.1142,0.4403,-0.0362,0,SPY - XLI,1.11E+11
